trip id,start station id,start station latitude,start station longitude,end station id,end station latitude,end station longitude,count
105_370,105,42.3572185,-71.11387163,370,42.35096144,-71.07782811,2
105_372,105,42.3572185,-71.11387163,372,42.34958942,-71.07946779,7
105_374,105,42.3572185,-71.11387163,374,42.35668335,-71.06166646,1
105_380,105,42.3572185,-71.11387163,380,42.36135838,-71.09670274,9
105_381,105,42.3572185,-71.11387163,381,42.37438409,-71.10015746,2
105_39,105,42.3572185,-71.11387163,39,42.3385146,-71.07404083,1
105_41,105,42.3572185,-71.11387163,41,42.352261,-71.123831,2
105_46,105,42.3572185,-71.11387163,46,42.34366582,-71.08582377,6
105_5,105,42.3572185,-71.11387163,5,42.341814,-71.090179,6
105_50,105,42.3572185,-71.11387163,50,42.35114198,-71.07329249,1
105_52,105,42.3572185,-71.11387163,52,42.348717,-71.085954,3
105_53,105,42.3572185,-71.11387163,53,42.35082681,-71.08981088,5
105_54,105,42.3572185,-71.11387163,54,42.354979,-71.063348,7
105_55,105,42.3572185,-71.11387163,55,42.347265,-71.088088,6
105_57,105,42.3572185,-71.11387163,57,42.34054262,-71.08138848,2
105_58,105,42.3572185,-71.11387163,58,42.35553628,-71.0728687,2
105_6,105,42.3572185,-71.11387163,6,42.36121165,-71.0653062,3
105_61,105,42.3572185,-71.11387163,61,42.348762,-71.082383,5
105_66,105,42.3572185,-71.11387163,66,42.34922469,-71.13275303,2
105_67,105,42.3572185,-71.11387163,67,42.3581,-71.093198,16
105_68,105,42.3572185,-71.11387163,68,42.36507,-71.1031,21
